Symbol,Name
AAPL,Apple Inc.
NVDA,NVIDIA Corporation
MSFT,Microsoft Corporation
AMZN,Amazon.com, Inc.
WMT,Walmart Inc.
JPM,JPMorgan Chase & Co.
V,Visa Inc.
UNH,UnitedHealth Group Incorporated
HD,The Home Depot, Inc.
PG,The Procter & Gamble Company
JNJ,Johnson & Johnson
CRM,Salesforce, Inc.
CVX,Chevron Corporation
KO,The Coca-Cola Company
MRK,Merck & Co., Inc.
CSCO,Cisco Systems, Inc.
AXP,American Express Company
IBM,International Business Machines Corporation
MCD,McDonald's Corporation
GS,The Goldman Sachs Group, Inc.
DIS,The Walt Disney Company
CAT,Caterpillar Inc.
VZ,Verizon Communications Inc.
AMGN,Amgen Inc.
HON,Honeywell International Inc.
BA,The Boeing Company
NKE,NIKE, Inc.
SHW,The Sherwin-Williams Company
MMM,3M Company
TRV,The Travelers Companies, Inc.
