Symbol,Security Name
ABL,"Abacus Life, Inc. - Class A Common Stock"
ABLLL,"Abacus Life, Inc. - 9.875% Fixed Rate Senior Notes due 2028"
ABLLL,"Abacus Life, Inc. - 9.875% Fixed Rate Senior Notes due 2028"
ABLLW,"Abacus Life, Inc. - Warrant"
ABLV,Able View Global Inc. - Class B Ordinary Shares
ABLVW,Able View Global Inc. - Warrant
ABP,"Abpro Holdings, Inc - Common Stock"
ABPWW,"Abpro Holdings, Inc - Warrant"
ABVE,Above Food Ingredients Inc. - Common Stock
ABVEW,Above Food Ingredients Inc. - Warrant
ACGL,Arch Capital Group Ltd. - Common Stock
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G"
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G"
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F"
ACON,"Aclarion, Inc. - Common Stock"
ACONW,"Aclarion, Inc. - Warrant"
ACWI,iShares MSCI ACWI ETF
ACWX,iShares MSCI ACWI ex U.S. ETF
ADN,"Advent Technologies Holdings, Inc. - Class A Common Stock"
ADNWW,"Advent Technologies Holdings, Inc. - Warrant"
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares
ADSEW,ADS-TEC ENERGY PLC - Warrant
AENT,Alliance Entertainment Holding Corporation - common stock
AENTW,Alliance Entertainment Holding Corporation - Warrants
AERT,"Aeries Technology, Inc. - Class A Ordinary Share"
AERTW,"Aeries Technology, Inc. - Warrant"
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share"
AFJKR,"Aimei Health Technology Co., Ltd - Right"
AFJKR,"Aimei Health Technology Co., Ltd - Right"
AFJKU,"Aimei Health Technology Co., Ltd - Unit"
AFRI,Forafric Global PLC - Ordinary Shares
AFRIW,Forafric Global PLC - Warrants
AGNC,AGNC Investment Corp. - Common Stock
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock"
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock"
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock"
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock"
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock"
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock"
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock"
AIMAU,Aimfinity Investment Corp. I - Unit
AIMAW,Aimfinity Investment Corp. I - Warrant
AIMAW,Aimfinity Investment Corp. I - Warrant
AIMBU,Aimfinity Investment Corp. I - Subunit
AIMD,"Ainos, Inc. - Common Stock"
AIMDW,"Ainos, Inc. - warrants"
AIRJ,AirJoule Technologies Corporation - Class A Common Stock
AIRJW,AirJoule Technologies Corporation - Warrant
AIRT,"Air T, Inc. - Common Stock"
AIRTP,"Air T, Inc. - Trust Preferred Securities"
AISP,"Airship AI Holdings, Inc - Class A Common Stock"
AISPW,"Airship AI Holdings, Inc - Warrants"
AITR,AI TRANSPORTATION ACQUISITION CORP - Ordinary shares
AITRR,AI TRANSPORTATION ACQUISITION CORP - Right
AITRR,AI TRANSPORTATION ACQUISITION CORP - Right
AITRU,AI TRANSPORTATION ACQUISITION CORP - Unit
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares
ALCYU,Alchemy Investments Acquisition Corp 1 - Units
ALCYU,Alchemy Investments Acquisition Corp 1 - Units
ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares
ALDFU,Aldel Financial II Inc. - Units
ALDFU,Aldel Financial II Inc. - Units
ALDFW,Aldel Financial II Inc. - Warrants
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares
ALFUU,Centurion Acquisition Corp. - Unit
ALFUU,Centurion Acquisition Corp. - Unit
ALFUW,Centurion Acquisition Corp. - Warrant
ALVO,Alvotech - Ordinary Shares
ALVOW,Alvotech - Warrant
AMDL,GraniteShares 2x Long AMD Daily ETF
AMDS,GraniteShares 1x Short AMD Daily ETF
AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock"
AMODW,"Alpha Modus Holdings, Inc. - Warrant"
AMPG,"Amplitech Group, Inc. - Common Stock"
AMPGW,"Amplitech Group, Inc. - Warrants"
ANGH,Anghami Inc. - Ordinary Shares
ANGHW,Anghami Inc. - Warrants
ANNA,"AleAnna, Inc. - Class A Common Stock"
ANNAW,"AleAnna, Inc. - Warrant"
ANSC,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares
ANSCU,Agriculture & Natural Solutions Acquisition Corporation - Unit
ANSCU,Agriculture & Natural Solutions Acquisition Corporation - Unit
ANSCW,Agriculture & Natural Solutions Acquisition Corporation - Warrant
APCX,AppTech Payments Corp. - Common stock
APCXW,AppTech Payments Corp. - Warrant
APLM,Apollomics Inc. - Class A Ordinary Shares
APLMW,Apollomics Inc. - Warrant
AQU,Aquaron Acquisition Corp. - Common Stock
AQUNR,Aquaron Acquisition Corp. - Rights
AQUNR,Aquaron Acquisition Corp. - Rights
AQUNU,Aquaron Acquisition Corp. - Units
ARBE,Arbe Robotics Ltd. - Ordinary Shares
ARBEW,Arbe Robotics Ltd. - Warrant
ARBK,Argo Blockchain plc - American Depositary Shares
ARBKL,Argo Blockchain plc - 8.75% Senior Notes due 2026
