Symbol,Security
GOOGL,Alphabet Inc. (Class A)
GOOG,Alphabet Inc. (Class C)
AEP,American Electric Power
AXP,American Express
AXP,American Express
AIG,American International Group
AIG,American International Group
AMT,American Tower
AMT,American Tower
AWK,American Water Works
CRL,Charles River Laboratories
SCHW,Charles Schwab Corporation
STZ,Constellation Brands
CEG,Constellation Energy
DG,Dollar General
DLTR,Dollar Tree
FOXA,Fox Corporation (Class A)
FOX,Fox Corporation (Class B)
GE,GE Aerospace
GEHC,GE HealthCare
GEHC,GE HealthCare
GEV,GE Vernova
GD,General Dynamics
GIS,General Mills
GIS,General Mills
GM,General Motors
HBAN,Huntington Bancshares
HII,Huntington Ingalls Industries
IFF,International Flavors & Fragrances
IP,International Paper
JNJ,Johnson & Johnson
JCI,Johnson Controls
NWSA,News Corp (Class A)
NWS,News Corp (Class B)
TXN,Texas Instruments
TPL,Texas Pacific Land Corporation
UAL,United Airlines Holdings
UPS,United Parcel Service
UPS,United Parcel Service
URI,United Rentals
WRB,W. R. Berkley Corporation
GWW,W. W. Grainger
