,Symbol,Security,GICS Sector
0,MMM,3M,Industrials
1,AOS,A. O. Smith,Industrials
2,ABT,Abbott Laboratories,Health Care
3,ABBV,AbbVie,Health Care
4,ACN,Accenture,Information Technology
5,ADBE,Adobe Inc.,Information Technology
6,AMD,Advanced Micro Devices,Information Technology
7,AES,AES Corporation,Utilities
8,AFL,Aflac,Financials
9,A,Agilent Technologies,Health Care
10,APD,Air Products,Materials
11,ABNB,Airbnb,Consumer Discretionary
12,AKAM,Akamai Technologies,Information Technology
13,ALB,Albemarle Corporation,Materials
14,ARE,Alexandria Real Estate Equities,Real Estate
15,ALGN,Align Technology,Health Care
16,ALLE,Allegion,Industrials
17,LNT,Alliant Energy,Utilities
18,ALL,Allstate,Financials
19,GOOGL,Alphabet Inc. (Class A),Communication Services
20,GOOG,Alphabet Inc. (Class C),Communication Services
21,MO,Altria,Consumer Staples
22,AMZN,Amazon,Consumer Discretionary
23,AMCR,Amcor,Materials
24,AEE,Ameren,Utilities
25,AEP,American Electric Power,Utilities
26,AXP,American Express,Financials
27,AIG,American International Group,Financials
28,AMT,American Tower,Real Estate
29,AWK,American Water Works,Utilities
30,AMP,Ameriprise Financial,Financials
31,AME,Ametek,Industrials
32,AMGN,Amgen,Health Care
33,APH,Amphenol,Information Technology
34,ADI,Analog Devices,Information Technology
35,ANSS,Ansys,Information Technology
36,AON,Aon,Financials
37,APA,APA Corporation,Energy
38,APO,Apollo Global Management,Financials
39,AAPL,Apple Inc.,Information Technology
40,AMAT,Applied Materials,Information Technology
41,APTV,Aptiv,Consumer Discretionary
42,ACGL,Arch Capital Group,Financials
43,ADM,Archer Daniels Midland,Consumer Staples
44,ANET,Arista Networks,Information Technology
45,AJG,Arthur J. Gallagher & Co.,Financials
46,AIZ,Assurant,Financials
47,T,AT&T,Communication Services
48,ATO,Atmos Energy,Utilities
49,ADSK,Autodesk,Information Technology
50,ADP,Automatic Data Processing,Industrials
51,AZO,AutoZone,Consumer Discretionary
52,AVB,AvalonBay Communities,Real Estate
53,AVY,Avery Dennison,Materials
54,AXON,Axon Enterprise,Industrials
55,BKR,Baker Hughes,Energy
56,BALL,Ball Corporation,Materials
57,BAC,Bank of America,Financials
58,BAX,Baxter International,Health Care
59,BDX,Becton Dickinson,Health Care
60,BRK.B,Berkshire Hathaway,Financials
61,BBY,Best Buy,Consumer Discretionary
62,TECH,Bio-Techne,Health Care
63,BIIB,Biogen,Health Care
64,BLK,BlackRock,Financials
65,BX,Blackstone Inc.,Financials
66,BK,BNY Mellon,Financials
67,BA,Boeing,Industrials
68,BKNG,Booking Holdings,Consumer Discretionary
69,BWA,BorgWarner,Consumer Discretionary
70,BSX,Boston Scientific,Health Care
71,BMY,Bristol Myers Squibb,Health Care
72,AVGO,Broadcom,Information Technology
73,BR,Broadridge Financial Solutions,Industrials
74,BRO,Brown & Brown,Financials
75,BF.B,Brown–Forman,Consumer Staples
76,BLDR,Builders FirstSource,Industrials
77,BG,Bunge Global,Consumer Staples
78,BXP,"BXP, Inc.",Real Estate
79,CHRW,C.H. Robinson,Industrials
80,CDNS,Cadence Design Systems,Information Technology
81,CZR,Caesars Entertainment,Consumer Discretionary
82,CPT,Camden Property Trust,Real Estate
83,CPB,Campbell Soup Company,Consumer Staples
84,COF,Capital One,Financials
85,CAH,Cardinal Health,Health Care
86,KMX,CarMax,Consumer Discretionary
87,CCL,Carnival,Consumer Discretionary
88,CARR,Carrier Global,Industrials
89,CAT,Caterpillar Inc.,Industrials
90,CBOE,Cboe Global Markets,Financials
91,CBRE,CBRE Group,Real Estate
92,CDW,CDW,Information Technology
93,CE,Celanese,Materials
94,COR,Cencora,Health Care
95,CNC,Centene Corporation,Health Care
96,CNP,CenterPoint Energy,Utilities
97,CF,CF Industries,Materials
98,CRL,Charles River Laboratories,Health Care
99,SCHW,Charles Schwab Corporation,Financials
100,CHTR,Charter Communications,Communication Services
101,CVX,Chevron Corporation,Energy
102,CMG,Chipotle Mexican Grill,Consumer Discretionary
103,CB,Chubb Limited,Financials
104,CHD,Church & Dwight,Consumer Staples
105,CI,Cigna,Health Care
106,CINF,Cincinnati Financial,Financials
107,CTAS,Cintas,Industrials
108,CSCO,Cisco,Information Technology
109,C,Citigroup,Financials
110,CFG,Citizens Financial Group,Financials
111,CLX,Clorox,Consumer Staples
112,CME,CME Group,Financials
113,CMS,CMS Energy,Utilities
114,KO,Coca-Cola Company (The),Consumer Staples
115,CTSH,Cognizant,Information Technology
116,CL,Colgate-Palmolive,Consumer Staples
117,CMCSA,Comcast,Communication Services
118,CAG,Conagra Brands,Consumer Staples
119,COP,ConocoPhillips,Energy
120,ED,Consolidated Edison,Utilities
121,STZ,Constellation Brands,Consumer Staples
122,CEG,Constellation Energy,Utilities
123,COO,Cooper Companies (The),Health Care
124,CPRT,Copart,Industrials
125,GLW,Corning Inc.,Information Technology
126,CPAY,Corpay,Financials
127,CTVA,Corteva,Materials
128,CSGP,CoStar Group,Real Estate
129,COST,Costco,Consumer Staples
130,CTRA,Coterra,Energy
131,CRWD,CrowdStrike,Information Technology
132,CCI,Crown Castle,Real Estate
133,CSX,CSX Corporation,Industrials
134,CMI,Cummins,Industrials
135,CVS,CVS Health,Health Care
136,DHR,Danaher Corporation,Health Care
137,DRI,Darden Restaurants,Consumer Discretionary
138,DVA,DaVita,Health Care
139,DAY,Dayforce,Industrials
140,DECK,Deckers Brands,Consumer Discretionary
141,DE,Deere & Company,Industrials
142,DELL,Dell Technologies,Information Technology
143,DAL,Delta Air Lines,Industrials
144,DVN,Devon Energy,Energy
145,DXCM,Dexcom,Health Care
146,FANG,Diamondback Energy,Energy
147,DLR,Digital Realty,Real Estate
148,DFS,Discover Financial,Financials
149,DG,Dollar General,Consumer Staples
150,DLTR,Dollar Tree,Consumer Staples
151,D,Dominion Energy,Utilities
152,DPZ,Domino's,Consumer Discretionary
153,DOV,Dover Corporation,Industrials
154,DOW,Dow Inc.,Materials
155,DHI,D. R. Horton,Consumer Discretionary
156,DTE,DTE Energy,Utilities
157,DUK,Duke Energy,Utilities
158,DD,DuPont,Materials
159,EMN,Eastman Chemical Company,Materials
160,ETN,Eaton Corporation,Industrials
161,EBAY,eBay,Consumer Discretionary
162,ECL,Ecolab,Materials
163,EIX,Edison International,Utilities
164,EW,Edwards Lifesciences,Health Care
165,EA,Electronic Arts,Communication Services
166,ELV,Elevance Health,Health Care
167,EMR,Emerson Electric,Industrials
168,ENPH,Enphase Energy,Information Technology
169,ETR,Entergy,Utilities
170,EOG,EOG Resources,Energy
171,EPAM,EPAM Systems,Information Technology
172,EQT,EQT Corporation,Energy
173,EFX,Equifax,Industrials
174,EQIX,Equinix,Real Estate
175,EQR,Equity Residential,Real Estate
176,ERIE,Erie Indemnity,Financials
177,ESS,Essex Property Trust,Real Estate
178,EL,Estée Lauder Companies (The),Consumer Staples
179,EG,Everest Group,Financials
180,EVRG,Evergy,Utilities
181,ES,Eversource Energy,Utilities
182,EXC,Exelon,Utilities
183,EXPE,Expedia Group,Consumer Discretionary
184,EXPD,Expeditors International,Industrials
185,EXR,Extra Space Storage,Real Estate
186,XOM,ExxonMobil,Energy
187,FFIV,"F5, Inc.",Information Technology
188,FDS,FactSet,Financials
189,FICO,Fair Isaac,Information Technology
190,FAST,Fastenal,Industrials
191,FRT,Federal Realty Investment Trust,Real Estate
192,FDX,FedEx,Industrials
193,FIS,Fidelity National Information Services,Financials
194,FITB,Fifth Third Bancorp,Financials
195,FSLR,First Solar,Information Technology
196,FE,FirstEnergy,Utilities
197,FI,Fiserv,Financials
198,FMC,FMC Corporation,Materials
199,F,Ford Motor Company,Consumer Discretionary
200,FTNT,Fortinet,Information Technology
201,FTV,Fortive,Industrials
202,FOXA,Fox Corporation (Class A),Communication Services
203,FOX,Fox Corporation (Class B),Communication Services
204,BEN,Franklin Resources,Financials
205,FCX,Freeport-McMoRan,Materials
206,GRMN,Garmin,Consumer Discretionary
207,IT,Gartner,Information Technology
208,GE,GE Aerospace,Industrials
209,GEHC,GE HealthCare,Health Care
210,GEV,GE Vernova,Industrials
211,GEN,Gen Digital,Information Technology
212,GNRC,Generac,Industrials
213,GD,General Dynamics,Industrials
214,GIS,General Mills,Consumer Staples
215,GM,General Motors,Consumer Discretionary
216,GPC,Genuine Parts Company,Consumer Discretionary
217,GILD,Gilead Sciences,Health Care
218,GPN,Global Payments,Financials
219,GL,Globe Life,Financials
220,GDDY,GoDaddy,Information Technology
221,GS,Goldman Sachs,Financials
222,HAL,Halliburton,Energy
223,HIG,Hartford (The),Financials
224,HAS,Hasbro,Consumer Discretionary
225,HCA,HCA Healthcare,Health Care
226,DOC,Healthpeak Properties,Real Estate
227,HSIC,Henry Schein,Health Care
228,HSY,Hershey Company (The),Consumer Staples
229,HES,Hess Corporation,Energy
230,HPE,Hewlett Packard Enterprise,Information Technology
231,HLT,Hilton Worldwide,Consumer Discretionary
232,HOLX,Hologic,Health Care
233,HD,Home Depot (The),Consumer Discretionary
234,HON,Honeywell,Industrials
235,HRL,Hormel Foods,Consumer Staples
236,HST,Host Hotels & Resorts,Real Estate
237,HWM,Howmet Aerospace,Industrials
238,HPQ,HP Inc.,Information Technology
239,HUBB,Hubbell Incorporated,Industrials
240,HUM,Humana,Health Care
241,HBAN,Huntington Bancshares,Financials
242,HII,Huntington Ingalls Industries,Industrials
243,IBM,IBM,Information Technology
244,IEX,IDEX Corporation,Industrials
245,IDXX,Idexx Laboratories,Health Care
246,ITW,Illinois Tool Works,Industrials
247,INCY,Incyte,Health Care
248,IR,Ingersoll Rand,Industrials
249,PODD,Insulet Corporation,Health Care
250,INTC,Intel,Information Technology
251,ICE,Intercontinental Exchange,Financials
252,IFF,International Flavors & Fragrances,Materials
253,IP,International Paper,Materials
254,IPG,Interpublic Group of Companies (The),Communication Services
255,INTU,Intuit,Information Technology
256,ISRG,Intuitive Surgical,Health Care
257,IVZ,Invesco,Financials
258,INVH,Invitation Homes,Real Estate
259,IQV,IQVIA,Health Care
260,IRM,Iron Mountain,Real Estate
261,JBHT,J.B. Hunt,Industrials
262,JBL,Jabil,Information Technology
263,JKHY,Jack Henry & Associates,Financials
264,J,Jacobs Solutions,Industrials
265,JNJ,Johnson & Johnson,Health Care
266,JCI,Johnson Controls,Industrials
267,JPM,JPMorgan Chase,Financials
268,JNPR,Juniper Networks,Information Technology
269,K,Kellanova,Consumer Staples
270,KVUE,Kenvue,Consumer Staples
271,KDP,Keurig Dr Pepper,Consumer Staples
272,KEY,KeyCorp,Financials
273,KEYS,Keysight Technologies,Information Technology
274,KMB,Kimberly-Clark,Consumer Staples
275,KIM,Kimco Realty,Real Estate
276,KMI,Kinder Morgan,Energy
277,KKR,KKR,Financials
278,KLAC,KLA Corporation,Information Technology
279,KHC,Kraft Heinz,Consumer Staples
280,KR,Kroger,Consumer Staples
281,LHX,L3Harris,Industrials
282,LH,LabCorp,Health Care
283,LRCX,Lam Research,Information Technology
284,LW,Lamb Weston,Consumer Staples
285,LVS,Las Vegas Sands,Consumer Discretionary
286,LDOS,Leidos,Industrials
287,LEN,Lennar,Consumer Discretionary
288,LII,Lennox International,Industrials
289,LLY,Lilly (Eli),Health Care
290,LIN,Linde plc,Materials
